"UniqueID","Ten Co So Y Te","So Dien Thoai","Dia Chi","Hour","Rating","Gioi Thieu","Dich Vu","Bac Si","Chuyen Khoa","Loai Co So","Hinh Anh",
"H07295","Trung tâm Đào tạo Võ thuật Tài năng Trẻ Hà Nội","096 617 88 88","19B Xa La, Phúc La, Hà Đông, Hà Nội","Luôn mở cửa","","","Đào tạo võ thuật","DB000065, DB000066, DB000067, DB000068","K30","T04","H07295.jpg",
"H07296","Câu lạc bộ Võ thuật Quân khu 7","","2 Phổ Quang, 2, Bình Tân, Hồ Chí Minh","Thứ Ba, Thứ Năm, Thứ Bảy: 05:00 - 20:30
Thứ Hai, Thứ Tư, Thứ Sáu: 18:00 - 19:30","","","","DB000069, DB000070, DB000071, DB000072, DB000073, DB000074, DB000075","K30","T04","",
"H07297","Peace Yoga","098 749 44 07","215C Lý Thường Kiệt, 15, Quận 11, Hồ Chí Minh","Thứ Hai - Thứ Sáu: 05:45 - 20:00
Thứ Bảy, Chủ Nhật: 08:00 - 18:30","","","","DB000076, DB000077, DB000078, DB000079","K30","T04","H07297.jpg",
"H07298","Gym Tài Nguyên Bình Dương","099 420 23 79","Trung tâm Thể dục Thể thao thành phố mới Bình Dương, Huỳnh Thúc Kháng, Phú Hòa, Thủ Dầu Một, Bình Dương","Thứ Hai - Chủ Nhật: 06:00 - 22:00","","Nằm tại trung tâm thể dục thể thao thành phố mới Bình Dương, phòng tập gym Bình Dương thuộc hệ thống cơ khí tài nguyên mang phong trào thể hình đến với những người dân quanh đây. Đặc biệt Gym Tài Nguyên luôn có giá ưu đãi cho học sinh, sinh viên chỉ còn 125k/tháng và nhiều chính sách ưu đãi khác như tặng áo, bao tay, tặng thẻ hội viên..","","DB000080","K30","T04","H07298.jpg",
"H07299","Câu lạc bộ Yoga và Thiền Trái Tim Vàng - Cơ sở Biên Hòa 1","091 711 79 91","1A22 đường 16 khu phố 2, An Bình, Biên Hòa, Đồng Nai","Thứ Hai - Thứ Bảy: 05:00 - 21:00","","Công ty cổ phần thương mại và dịch vụ Trái Tim Vàng (Golden Hearts Trade & Services JSC) được thành lập bởi master sridevi Tố Hải vào ngày 01/04/2008, chuyên tổ chức huấn luyện về yoga chất lượng, chuyên nghiệp, uy tín. Hơn thế nữa, Golden Hearts còn là ngôi nhà chung của cộng đồng yoga tâm huyết, giỏi chuyên môn và nhiệt tình, thân thiện. Nơi đây chính là chiếc nôi đào tạo và cung cấp huấn luyện viên yoga chuyên nghiệp theo đúng chuẩn quốc tế, bằng cấp quốc tế của yoga Alliance International (Ấn Độ) và yoga Alliance Mỹ.","Chuyên đào tạo huấn luyện viên yoga chuyên nghiệp, Các khóa huấn luyện viên Hatha Yoga, Ashtanga Yoga 200 giờ, 300 giờ, 500 giờ, Các khóa huấn luyện viên yoga cấp tốc, Các khóa huấn luyện viên bà bầu, trẻ em…, Các khóa đào tạo chuyên sâu giải phẩu học chức năng yoga (Yoga Functional Anatomy…)","DB000081","K30","T04","H07299.jpg",
"H07300","Fit24 Fitness & Yoga Centre - Nhật Tân","0246 2584 225","689 Lạc Long Quân, Phú Thượng, Tây Hồ, Hà Nội","","","","","DB000082, DB000083, DB000084, DB000085, DB000086, DB000087","K30","T04","H07300.jpg",
"H07301","Câu lạc bộ thể hình thẩm mỹ Lê Hạnh","093 899 81 06","1521 Huỳnh Tấn Phát , Phú Mỹ, Quận 7, Hồ Chí Minh","","","","","","K30","T04","H07301.jpg",
"H07302","Passion Fitness & Yoga - Cơ sở 2","0246 6868 836","101 Xuân La, Xuân La, Tây Hồ, Hà Nội","Thứ Hai - Chủ Nhật: 05:00 - 21:00","","Đến với Passion Fitness - Cơ sở Xuân La bạn không chỉ được thoải mái luyện tập trong một không gian rộng rãi, trang thiết bị hiện đại mà còn được tập luyện cùng với các huấn luyện viên kinh nghiệm, nhiệt tình với các bài tập chuyên nghiệp nhất. Với sự đa dạng của các loại hình luyện tập, bạn dễ dàng lựa chọn cho mình những bộ môn phù hợp để việc tập luyện trở nên hiệu quả nhất, giúp bạn nhanh chóng đạt được sức khỏe tối ưu và thực hiện giấc mơ hình thể lý tưởng.","","DB000088, DB000089, DB000090, DB000091, DB000092","K30","T04","H07302.jpg",
"H07303","Phòng Gym X-Men Đồng Xoài – Bình Phước","096 366 66 65","22 Hùng Vương, Tân Bình, Đồng Xoài, Bình Phước","Thứ Hai - Thứ Bảy: 15:00 - 21:00 , 04:30 - 09:00","","Nhằm đáp ứng nhu cầu tập luyện, chăm sóc sức khỏe của mọi người, ngày 02/10/2016, câu lạc bộ thể dục thể hình – thẩm mỹ nam nữ X-Men sẽ chính thức khai trương. Cơ hội trải nghiệm phòng tập “BỐN CHỮ NHẤT”. Diện tích lớn NHẤT: 4 phòng tập Gym – Aerobic – Yoga thoáng mát, hiện đại. Thiết bị tiên tiến NHẤT: 100% ngoại nhập. Đội ngũ Huấn luyện viên chuyên nghiệp và tận tình hỗ trợ bạn tập luyện hiệu quả NHẤT, đặc biệt giáo viên Yoga cao cấp từ Ấn Độ. Và hơn hết luôn đảm bảo chất lượng với học phí hợp lí NHẤT kèm theo nhiều khuyến mãi hấp dẫn.","","DB000093, DB000094, DB000095, DB000096","K30","T04","H07303.jpg",
"H07304","Phòng tập Thể hình Dũng Sport Gym & Fitness","093 737 75 39","31/2 Truông Tre, Dĩ An, Dĩ An, Bình Dương","Thứ Hai - Chủ Nhật: 14:00 - 21:00 , 05:00 - 10:00","","","","","K30","T04","H07304.jpg",
"H07305","Trung tâm đào tạo huấn luyện Thiền & Yoga Trái Tim Vàng - 120 đường 3/2","090 686 32 99","120 đường 3/2, Xuân Khánh, Ninh Kiều, Cần Thơ","Thứ Hai - Chủ Nhật: 05:00 - 21:00","","Công ty cổ phần thương mại và dịch vụ Trái Tim Vàng (Golden Hearts Trade & Services JSC) được thành lập bởi master sridevi Tố Hải vào ngày 01/04/2008, chuyên tổ chức huấn luyện về yoga chất lượng, chuyên nghiệp, uy tín. Hơn thế nữa, Golden Hearts còn là ngôi nhà chung của cộng đồng yoga tâm huyết, giỏi chuyên môn và nhiệt tình, thân thiện. Nơi đây chính là chiếc nôi đào tạo và cung cấp huấn luyện viên yoga chuyên nghiệp theo đúng chuẩn quốc tế, bằng cấp quốc tế của Yoga Alliance International (Ấn Độ) và Yoga Alliance Mỹ.","Chuyên đào tạo huấn luyện viên yoga chuyên nghiệp, Các khóa huấn luyện viên Hatha Yoga, Ashtanga Yoga 200 giờ,  Các khóa huấn luyện viên Hatha Yoga, Ashtanga Yoga  300 giờ, Các khóa huấn luyện viên Hatha Yoga, Ashtanga Yoga  500 giờ, Các khóa huấn luyện viên yoga cấp tốc, Các khóa huấn luyện viên bà bầu, Các khóa huấn luyện viên trẻ em, Các khóa đào tạo chuyên sâu: giải phẩu học chức năng yoga (Yoga Functional Anatomy…)","DB000097","K30","T04","H07305.jpg",
"H07306","California Fitness & Yoga - Cơ sở Mipec Riverside","0247 3095 999","Mipec Riverside, 2 Long Biên II, Ngọc Lâm, Long Biên, Hà Nội","Thứ Hai - Chủ Nhật: 06:00 - 22:00","","Trong hơn 8 năm qua, phòng gym quận Long Biên của California Fitness & Yoga đã giúp cho hơn 100 ngàn người cải thiện được cuộc sống của mình. Sứ mệnh của trung tâm thể hình chính là mang đến cho bạn những dịch vụ cải thiện chất lượng cuộc sống tốt nhất, chuyên nghiệp để giúp bạn đạt được mục tiêu của mình.","Tập Yoga, Tập Dance, Tập thể dục nhóm, Tập kickfit, Võ tự do, Tập liệu pháp tăng cơ","","K30","T04","H07306.jpg",
"H07307","Trung tâm Gym Newlife","090 464 31 37","78 đường 37, Tân Kiểng , Quận 7, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 07:00 - 21:00","","Gym Newlife được thành lập và đi vào hoạt động từ năm 2012. Chúng tôi hướng tới việc trở thành một công ty chuyên nghiệp hàng đầu trong việc cung cấp các dịch vụ tập luyện thể dục cho từng cá nhân, các nhóm khách hàng và các đơn vị, những người muốn tham gia vào một chương trình tập luyện riêng biệt, đẳng cấp và hiệu quả. Chúng tôi có nhiều kinh nghiệm trong việc quản lý, đào tạo và cung cấp huấn luyện viên cá nhân chuyên nghiệp.","Giảm cân nhanh, Tăng cân nhanh, Giảm mỡ tăng cơ, Kick boxing tự vệ","DB000098, DB000099, DB000100, DB000101, DB000102, DB000103, DB000104, DB000105, DB000106, DB000107","K30","T04","H07307.jpg",
"H07308","Fitness Garden","0246 6552 188","Tầng KT tòa Golden Land, 275 Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân, Hà Nội","Thứ Hai - Thứ Sáu: 06:00 - 22:00
Thứ Bảy, Chủ Nhật: 07:00 - 21:00","","Fitness Garden là trung tâm thể thao đẳng cấp được thiết kế trong khuôn viên vườn xanh mát, gần gũi với thiên nhiên. Tập luyện trong nhà hài hoà với thư giãn ngoài bể bơi trong không gian tươi xanh, ngập tràn năng lượng sẽ giúp tạo nên phong cách sống hiện đại nhưng thư thái về thể chất lẫn tinh thần. Không gian tập luyện không giới hạn trên mặt sàn có tổng diện tích đến 3.000 m2 với đầy đủ dịch vụ tiện ích.","Yoga, Fitness, Swimming, Group X, Kickboxing, Juice Bar, Kid Club, Sauna","","K30","T04","H07308.jpg",
"H07309","Sunlight Yoga - 117/6 Vườn Chuối","090 969 51 81","117/6 Vườn Chuối, 4, Quận 3, Hồ Chí Minh","Thứ Hai - Thứ Sáu: 06:00 - 21:00
Chủ Nhật: 08:00 - 12:00
Thứ Bảy: 08:00 - 18:00","","Yoga là một phương pháp được nhiều người sử dụng như một bài tập hằng ngày, nhằm tăng sức đề kháng, ngăn ngừa, đẩy lùi bệnh tật, rèn luyện cơ, khớp, giúp cân bằng tinh thần, phát triển trí tuệ minh mẫn. Ngay hôm nay, hãy dành chút thời gian để cùng đến với trung tâm Sunlight Yoga Studio, trải nghiệm công dụng tuyệt vời của bộ môn này bạn nhé. Chỉ 249.000 đồng, bạn sẽ được lĩnh hội một cách nhanh chóng các động tác cơ bản của Yoga, thông qua Khóa 30 buổi tập Yoga cùng với Chuyên gia bậc thầy người Ấn Độ, đừng bỏ lỡ bạn nhé!","","DB000108, DB000109, DB000110, DB000111","K30","T04","H07309.jpg",
"H07310","T&V Fitness and Yoga - Cơ sở 3","0283 7584 939","A8/4A quốc lộ 50, Bình Hưng, Bình Chánh, Hồ Chí Minh","","","Tọa lạc tại ấp A8/4A, quốc lộ 50, xã Bình Hưng, huyện Bình Chánh. Với không gian sang trọng, đa dạng bộ môn: gym, yoga, zumba, boxing... Điểm đến T&V là địa điểm đáng tin cậy để bạn và gia đình tập luyện, trao gửi sức khỏe và thay đổi vóc dáng của mình. Sau hơn nhiều năm kinh nghiệm hình thành và phát triển. Câu lạc bộ gym T&V Fitness tự hào là nơi gửi trọn niềm tin của khách hàng. Với kinh nghiệm chuyên sâu về thể dục thể thao, đặc biệt là gym.","","","K30","T04","H07310.jpg",
"H07311","Yoga Secret Club - 93 Lý Phục Man","0283 7738 338","93 Lý Phục Man, Bình Thuận, Quận 7, Hồ Chí Minh","","","","","","K30","T04","H07311.jpg",
"H07312","Gym & Fitness Anh Đức","0289 8080 781","29/7A5 Nguyễn Thị Thử, Xuân Thới Sơ, Hóc Môn, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 05:00 - 21:00","5.0","","","","K30","T04","H07312.jpg",
"H07313","LX Fitness Center Bắc Ninh","092 883 16 66","Tầng 5 - 33 Lý Thái Tổ, Ninh Xá, Bắc Ninh, Bắc Ninh","Thứ Hai - Chủ Nhật: 05:00 - 21:30","","Đến với chúng tôi, quý khách sẽ được trải nghiệm thực sự trên các máy tập hiện đại bậc nhất, các tính năng giải trí cao cấp cùng với nhiều tiện ích khác. Bên cạnh chất lượng sản phẩm, dịch vụ, độ tín nhiệm của khách hàng, LX Fitness còn mong muốn từng bước mang lại môi trường sống lành mạnh, lối sống tích cực cũng như truyền gửi nguồn cảm hứng sẵn sàng tận hưởng cuộc sống trọn vẹn nhất.","Tập Gym, Tập Yoga","","K30","T04","H07313.jpg",
"H07314","Passion Fitness & Yoga - Cơ sở 1","097 609 98 39","138 Trần Bình, Mỹ Đình 2, Nam Từ Liêm, Hà Nội","Thứ Hai - Chủ Nhật: 05:00 - 21:00","","","Gym, Yoga, Zumba, Aerobic, Stretching","DB000112, DB000113, DB000114, DB000115, DB000116","K30","T04","H07314.jpg",
"H07315","Trung tâm Yoga Zenith - 111 Xuân Diệu","090 435 65 61","111 Xuân Diệu, Quảng An, Tây Hồ, Hà Nội","Thứ Hai - Thứ Sáu: 08:00 - 20:00
Thứ Bảy, Chủ Nhật: 09:00 - 17:00","","Zenith Yoga là trung tâm Yoga lâu đời nhất tại Hà Nội. Trung tâm mở cơ sở đầu tiên tại 111 Xuân Diệu và có đến 80% đối tượng khách hàng là người nước ngoài đang sinh sống và làm việc tại Việt Nam. Các lớp học của chúng tôi rất phong phú, thường xuyên cập nhật và được giảng dạy bởi các giảng viên có chứng chỉ quốc tế, bao gồm: Iyengar, Hatha, Vinyasa, Pilates. Ngoài ra còn có các lớp học định kỳ được tổ chức theo định kỳ, gồm cóL: Restorative (tái tạo), lớp dành cho các bà mẹ đang mang bầu, lớp chuyên về thiền định.","","DB000117, DB000118, DB000119, DB000120, DB000121, DB000122, DB000123, DB000124, DB000125, DB000126","K30","T04","",
"H07316","Câu lạc bộ The Push Gym","08 6685 2266","670 Trường Chinh, 15, Tân Bình, Hồ Chí Minh","Thứ Hai - Thứ Bảy: 05:30 - 21:30
Chủ Nhật: 07:30 - 19:30","","The Push Gym là trung tâm thể dục thể hình - thẩm mỹ - yoga. Chúng tôi cam kết mang đến cho hội viên một không gian tập luyện chuyên nghiệp, thân thiện. Không gian tập luyện của The Push Gym được trang bị hệ thống máy móc hiện đại và tiện dụng, phục vụ cho việc tập luyện các bài tập thể lực chung như chạy bộ, trượt tuyết,... hoặc các bài tập chuyên sâu cho các nhóm cơ bụng, cơ vai, cơ tay, cơ lưng,... Với tổng diện tích hơn 500m2, The Push Gym cung cấp cho hội viên không gian tập luyện chuyên nghiệp cùng các tiện ích (lễ tân, tủ đồ, phòng tắm,...) tiêu chuẩn và thân thiện.
Lịch tập luyện tại The Push Gym rất phong phú, linh hoạt phù hợp với các hội viên chuyên nghiệp lẫn không chuyên, mở cửa tất cả các ngày trong tuần. Ngoài không gian tập luyện thể hình hoạt động thường xuyên, chúng tôi còn cung cấp các lớp chuyên môn như aerobic, yoga,... hoặc các bài tập được thiết kế riêng cho từng hội viên. Huấn luyện viên cá nhân của The Push Gym luôn sẵn sàng hỗ trợ hội viên những bài tập làm quen cơ bản và những bài tập đặc thù nhằm giúp hội viên có một chương trình và lịch tập luyện khoa học, chế độ ăn uống và nghỉ ngơi thích hợp nhằm mang lại hiệu quả tập luyện nhanh nhất.
The Push Gym mong muốn mang lại cho hội viên một sức khoẻ tốt hơn, sự tự tin và phong cách sống hiện đại, tích cực. Hãy liên hệ với chúng tôi ngay hôm nay để được tư vấn chương trình tập luyện, thời gian tập luyện phù hợp với nhu cầu của hội viên. Nhiều ưu đãi đặc biệt dành cho những hội viên đăng ký sớm.","","","K30","T04","H07316.jpg",
"H07317","Câu lạc bộ Getfit Gym And Yoga","08 6261 6168","Lầu 3, cao ốc H3, 384 Hoàng Diệu, 6, Quận 4, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 06:00 - 22:00","","Getfit Gym & Yoga là một trung tâm thể dục thể hình, thẩm mỹ và Yoga hoàn toàn mới, đẳng cấp với quy mô lớn gần 2500m² tọa lạc ngay tại trung tâm thành phố Hồ Chí Minh năng động. Lối kiến trúc tổng thể xuyên suốt hợp lý, thiết kế sang trọng, hòa cùng sắc cam ấm cúng, âm nhạc tuyệt vời thúc đẩy cảm xúc tập luyện trong bạn đồng thời đem đến một tinh thần thoải mái giúp bạn cảm nhận được từng lượng calo trong cơ thể được đốt cháy triệt để và nhanh chóng đạt được sức khỏe tối ưu và thực hiện giấc mơ hình thể lý tưởng.","","DB000127, DB000128, DB000129, DB000130, DB000131, DB000132, DB000133","K30","T04","H07317.jpg",
"H07318","Câu lạc bộ thể hình Trần Hưng Đạo - 257 Nguyễn Khắc Nhu","0283 8369 527","257 Nguyễn Khắc Nhu , Cô Giang , Quận 1, Hồ Chí Minh","Chủ Nhật: 05:30 - 11:00
Thứ Hai - Thứ Bảy: 05:30 - 20:00","","","","","K30","T04","H07318.jpg",
"H07319","Câu lạc bộ California Fitness And Yoga - Cơ sở 1","0283 9483 999","Pico Plaza 20 Cộng Hòa, 12, Tân Bình, Hồ Chí Minh","Thứ Hai - Thứ Sáu: 06:00 - 23:00
Thứ Bảy, Chủ Nhật: 08:00 - 22:00","","Được thành lập trong thời gian gần đây, phòng tập gym quận Tân Bình của Trung tâm California dành cho những khách hàng khu vực Gò Vấp, Tân Phú và Phú Nhuận. Các bạn có thể thay đổi cơ thể với trải nghiệm dịch vụ 5 sao trên tầng 3 Pico Plaza với các lớp Group X, Yoga và Dance. Hơn nữa, phòng gym quận Tân Bình sỡ hữu khuôn viên khá rộng rãi, phòng tập thể hình có những trang thiết bị cho các môn ví dụ như Crossfit, MMA và Kickfit. Bên cạnh đó, khu vực Centuryon sang trọng dành riêng cho những thành viên Centuryon với những trang thiết bị đẳng cấp thế giới.","","DB000134, DB000135, DB000136, DB000137, DB000138, DB000139, DB000140, DB000141, DB000142, DB000143, DB000144, DB000145, DB000146, DB000147, DB000148, DB000149, DB000150, DB000151, DB000152, DB000153, DB000154, DB000155, DB000156, DB000157, DB000158, DB000159, DB000160, DB000161, DB000162, DB000163, DB000164, DB000165, DB000166, DB000167, DB000168, DB000169, DB000170, DB000171, DB000172, DB000173","K30","T04","H07319.jpg",
